Fund,Ticker,Security Name,Quantity,Market Value
Global Quality Sleeve,MSFT US,MICROSOFT CORP,131818,58000000.0
Global Quality Sleeve,AAPL US,APPLE INC,166134,52000000.0
Global Quality Sleeve,NVDA US,NVIDIA CORP,203704,44000000.0
Global Quality Sleeve,GOOGL US,ALPHABET INC-CL A,80940,31000000.0
Global Quality Sleeve,JNJ US,JOHNSON & JOHNSON,116228,26500000.0
Global Quality Sleeve,UNH US,UNITEDHEALTH GROUP INC,73333,22000000.0
Global Quality Sleeve,PG US,PROCTER & GAMBLE CO,142361,20500000.0
Global Quality Sleeve,KO US,COCA-COLA CO,257143,18000000.0
Global Quality Sleeve,CSCO US,CISCO SYSTEMS INC,229167,16500000.0
Global Quality Sleeve,ORCL US,ORACLE CORP,78947,15000000.0
Global Quality Sleeve,TXN US,TEXAS INSTRUMENTS INC,60976,12500000.0
Global Quality Sleeve,LIN US,LINDE PLC,23404,11000000.0
Global Quality Sleeve,V US,VISA INC-CLASS A SHARES,56522,19500000.0
Global Quality Sleeve,MA US,MASTERCARD INC-CLASS A,30357,17000000.0
Global Quality Sleeve,COST US,COSTCO WHOLESALE CORP,14583,14000000.0
Global Quality Sleeve,MRK US,MERCK & CO. INC.,93750,10500000.0
Global Quality Sleeve,ABBV US,ABBVIE INC,46341,9500000.0
Global Quality Sleeve,HON US,HONEYWELL INTERNATIONAL INC,37209,8000000.0
Global Quality Sleeve,NESN SW,NESTLE SA-REG,221519,17500000.0
Global Quality Sleeve,RO SW,ROCHE HOLDING AG-BEARER,47059,12000000.0
Global Quality Sleeve,NOVN SW,NOVARTIS AG-REG,102041,10000000.0
Global Quality Sleeve,ASML NA,ASML HOLDING NV,11001,15500000.0
Global Quality Sleeve,SAP GY,SAP SE,46939,11500000.0
Global Quality Sleeve,MC FP,LVMH MOET HENNESSY LOUIS VUI,14062,9000000.0
Global Quality Sleeve,OR FP,L'OREAL,19737,7500000.0
Global Quality Sleeve,AZN LN,ASTRAZENECA PLC,68000,8500000.0
Global Quality Sleeve,ULVR LN,UNILEVER PLC,135417,6500000.0
Global Quality Sleeve,7203 JP,TOYOTA MOTOR CORP,2301,7000000.0
International Value Sleeve,SHEL LN,SHELL PLC,482759,14000000.0
International Value Sleeve,HSBA LN,HSBC HOLDINGS PLC,1277778,11500000.0
International Value Sleeve,RIO LN,RIO TINTO PLC,137931,8000000.0
International Value Sleeve,BP/ LN,BP PLC,1500000,6000000.0
International Value Sleeve,SIE GY,SIEMENS AG-REG,55263,10500000.0
International Value Sleeve,ALV GY,ALLIANZ SE-REG,28125,9000000.0
International Value Sleeve,BAS GY,BASF SE,114583,5500000.0
International Value Sleeve,SAN FP,SANOFI,89474,8500000.0
International Value Sleeve,BNP FP,BNP PARIBAS,97222,7000000.0
International Value Sleeve,TTE FP,TOTALENERGIES SE,153226,9500000.0
International Value Sleeve,UBSG SW,UBS GROUP AG-REG,203125,6500000.0
International Value Sleeve,6758 JP,SONY GROUP CORP,2353,8000000.0
International Value Sleeve,8306 JP,MITSUBISHI UFJ FINANCIAL GRO,3514,6500000.0
International Value Sleeve,9984 JP,SOFTBANK GROUP CORP,510,5000000.0
International Value Sleeve,0700 HK,TENCENT HOLDINGS LTD,21429,9000000.0
International Value Sleeve,9988 HK,ALIBABA GROUP HOLDING LTD,48000,6000000.0
International Value Sleeve,005930 KS,SAMSUNG ELECTRONICS CO LTD,24,7500000.0
International Value Sleeve,RY CN,ROYAL BANK OF CANADA,33708,6000000.0
US Core Equity,AAPL US,APPLE INC,76677,24000000.0
US Core Equity,MSFT US,MICROSOFT CORP,59091,26000000.0
US Core Equity,JPM US,JPMORGAN CHASE & CO,60811,18000000.0
US Core Equity,GS US,GOLDMAN SACHS GROUP INC,15323,9500000.0
US Core Equity,BAC US,BANK OF AMERICA CORP,173913,8000000.0
US Core Equity,XOM US,EXXON MOBIL CORP,89041,13000000.0
US Core Equity,CVX US,CHEVRON CORP,63291,10000000.0
US Core Equity,CAT US,CATERPILLAR INC,20238,8500000.0
US Core Equity,HD US,HOME DEPOT INC,30556,11000000.0
US Core Equity,WMT US,WALMART INC,122449,12000000.0
US Core Equity,JNJ US,JOHNSON & JOHNSON,39474,9000000.0
US Core Equity,UNH US,UNITEDHEALTH GROUP INC,25000,7500000.0
US Core Equity,AMD US,ADVANCED MICRO DEVICES,30233,6500000.0
US Core Equity,NKE US,NIKE INC -CL B,72581,4500000.0
