Date,Global Equity Growth,Global Equity Value,Small Cap Opportunities,International Equity,Market Neutral,Absolute Return,Private Credit,Core Bonds
2016-10-31,-0.01139,-0.020266,-0.041409,-0.035215,0.008579,-0.104206,-0.013961,-0.026664
2016-11-30,0.027469,0.033202,0.070983,-0.018788,0.01512,-0.010317,-0.010633,-0.047608
2016-12-31,0.008503,0.026512,0.020014,0.01618,-0.001528,0.005274,0.007507,0.002834
2017-01-31,0.031531,0.022909,0.023045,0.063726,-0.002472,0.012808,0.006167,0.005198
2017-02-28,0.030806,0.017156,-0.004362,0.013047,-0.008453,-0.002746,0.010302,0.017896
2017-03-31,0.008802,-0.016416,0.012355,0.040045,0.000524,0.002002,0.005607,0.001737
2017-04-30,0.017762,0.005488,0.006716,0.025014,-0.012935,0.006334,0.008154,0.020554
2017-05-31,0.01209,0.014052,-0.03162,0.035707,0.008103,-0.010564,0.010672,0.006372
2017-06-30,0.003831,0.027139,0.05507,0.015629,-0.000856,-0.014809,0.009324,0.012424
2017-07-31,0.00806,0.015142,0.03033,0.033156,0.011883,-0.007233,0.004277,0.003685
2017-08-31,-0.004259,-0.007615,-0.036146,0.001332,0.001962,0.007535,0.004403,0.015856
2017-09-30,0.007633,0.033182,0.043217,0.020276,-0.015027,0.008696,0.000935,-0.008863
2017-10-31,0.029153,0.025435,0.011911,0.022508,0.004868,0.010573,0.006069,-0.000441
2017-11-30,0.043712,0.040683,0.032744,0.017916,0.006468,0.015573,0.005687,0.007001
2017-12-31,0.003034,-0.007971,0.023884,0.025073,0.010686,0.023967,0.009274,0.01185
2018-01-31,0.083948,0.050957,0.030554,0.046355,-0.013933,0.01743,0.013105,-0.016301
2018-02-28,-0.03026,-0.033169,-0.051128,-0.053419,0.000757,-0.005816,-0.010451,-0.023634
2018-03-31,-0.035197,-0.045659,0.012551,-0.00031,0.004504,0.001025,-0.000485,0.009074
2018-04-30,0.010075,0.010149,0.005892,-0.017238,0.02054,0.000767,0.011185,-0.007758
2018-05-31,0.037342,0.018253,0.073015,-0.017298,-0.002592,-0.01059,0.023899,-0.003044
2018-06-30,0.011096,0.020621,0.013993,-0.053687,0.003135,-0.022839,0.007486,0.001892
2018-07-31,0.02388,0.026869,0.021068,0.042522,0.030164,-0.008536,0.009341,0.005216
2018-08-31,0.048994,0.017682,0.063797,-0.011055,-0.02468,0.041775,0.000273,0.009681
2018-09-30,0.008795,0.015873,-0.012429,0.031462,-0.013713,0.016129,0.000786,-0.009329
2018-10-31,-0.097188,-0.060875,-0.130285,-0.062578,0.00879,-0.018776,-0.021737,-0.028916
2018-11-30,0.007703,0.042922,0.023927,0.004544,0.016478,0.00956,-0.009358,0.003327
2018-12-31,-0.107373,-0.086759,-0.147512,-0.045568,0.014139,0.014572,-0.007699,0.03403
